word,n
1,38
10d0,25
10d4,21
10d8,29
10dc,12
10e1,16
2,44
2018,22
2019,23
3,20
4,20
7528,12
7684,12
8cc7,12
ababa,13
addis,15
advanced,12
ames,12
analysis,43
analytics,22
august,13
beginners,35
blogdown,16
book,57
building,18
chat,12
christmas,13
cleaning,11
club,60
code,42
coffee,30
community,22
conference,23
creating,13
data,361
datos,44
day,19
december,17
dplyr,31
edition,14
etkinligi,25
event,44
exploring,11
ggplot2,52
git,27
github,30
greet,14
hadley,15
hands,21
happy,29
holiday,16
hour,28
ile,13
interactive,17
intro,49
introducci,24
introduction,74
kick,17
kickoff,16
ladies,460
launch,26
learn,13
learning,63
lightning,33
lisis,12
lunchinators,39
machine,38
madrid,12
markdown,34
meet,24
meeting,70
meetup,205
mining,11
monthly,24
networking,15
night,16
november,13
october,11
package,24
packages,22
party,14
primer,22
programming,22
project,19
purrr,14
regression,11
reproducible,11
research,12
reuni,15
rladies,33
rmarkdown,24
rstudio,43
science,110
scraping,11
september,17
ser,14
series,45
shiny,82
social,54
special,12
statistical,15
study,17
summer,30
talk,12
talks,45
taller,42
tech,28
text,16
tidy,26
tidytuesday,21
tidyverse,44
time,12
tutorial,21
user,22
visualizaci,13
visualization,51
web,20
week,23
wickham,14
women,31
workshop,92
wrangling,13
